Element,Impact Factor (Approx.),Quantity (gm)
Aluminum,20,48
Silicon,10,48
Oxygen,1,40
Copper,200,20
Iron,30,10
Carbon,100,10
Nickel,300,8
Lithium,300,4
Cobalt,800,2
Gold,5000,0.04
Silver,1000,0.04
Tantalum,2000,0.04
Tin,500,0.04
Neodymium,3000,0.02
Palladium,6000,0.02
Platinum,7000,0.02
Yttrium,2500,0.001
Indium,4000,0.001
Gallium,3000,0.001
